zts1e	Nouveau objet
zts18202e	Coffre de Maru le tigre
zts18203e	Le coffre de Maru le tigre dissimule plusieurs objets que tu peux récupérer en ouvrant le coffre.[n][Attention][n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts18204e	Huile de sésame
zts18205e	C'est objet est très pratique en cas de duel contre Maru, le tigre du millénaire.[n]La précision de toutes les attaques de l'adversaire diminue de 30 % pendant 10 secondes.[n][Attention][n]L'objet ne peut être utilisé que dans la maison de la fratrie.[n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts18206e	Gâteau de farine de haricot
zts18207e	Cette friandise détournera l'attention du tigre du millénaire.[n]Donne-la au tigre quand il te barre la route.[n][Attention][n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts18208e	Coffre du promeneur
zts18209e	Ce coffre contient plusieurs petits trésors.[n]Tu recevras l'un des objets suivants :[n]1x coloration mystérieuse[n]1x jeu de tarot[n]1x bénédiction d'Ancelloan[n]1x grande potion spéciale[n]1x récipient scellé[n]1x eau de source de Cylloan[n]1x ailes de l'amitié[n]1x haut-parleur[n][Attention][n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts18210e	Gâteau de riz aux haricots rouges
zts18211e	Objet pratique en cas de duel contre Maru, le tigre du millénaire.[n]Annule l'effet [Domination du tigre].[n][Attention][n]Ne peut être utilisé que dans la maison de la fratrie.[n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts18212e	Pièce en laiton
zts18213e	Une pièce précieuse en laiton qui peut être échangée.[n]Échange-la contre le coffre du promeneur.[n][Attention][n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts18214e	Adorable costume de tigre (1 jour)
zts18215e	Deviens un adorable tigre.[n]La durée d'utilisation commence dès que tu mets le costume.[n][Effet][n]Tu as alors une probabilité de 5 % pour que tous les dégâts d'attaque soient diminués de 80 %.[n]
zts18216e	Adorable costume de tigre (7 jours)
zts18217e	Adorable costume de tigre (30 jours)
zts18218e	Adorable costume de tigre (permanent)
zts18219e	Deviens un adorable tigre.[n]Ta résistance à tous les éléments augmente de 2 %.[n][Effet][n]Tu as alors une probabilité de 5 % pour que tous les dégâts d'attaque soient diminués de 80 %.[n]
zts18220e	Costume de tigre blanc de neige (1 jour)
zts18221e	Deviens un tigre blanc de neige.[n]La durée d'utilisation débute dès que tu t'en sers pour la première fois.[n][Effet][n]La vitesse de déplacement augmente de 2.[n]
zts18222e	Costume de tigre blanc de neige (7 jours)
zts18223e	Costume de tigre blanc de neige (30 jours)
zts18224e	Costume de tigre blanc de neige (permanent)
zts18225e	Deviens un tigre blanc de neige.[n][Effet][n]La vitesse de déplacement augmente la vitesse de 2.[n]
zts18226e	Adorable chapeau de tigre (1 jour)
zts18227e	Deviens un adorable tigre.[n]La durée d'utilisation commence dès que tu mets le costume.[n][Effet][n]La résistance à tous les éléments augmente de 3 %.[n]
zts18228e	Adorable chapeau de tigre (7 jours)
zts18229e	Adorable chapeau de tigre (30 jours)
zts18230e	Adorable chapeau de tigre (permanent)
zts18231e	Deviens un adorable tigre.[n][Effet][n]La résistance à tous les éléments augmente de 3 %.[n]
zts18232e	Chapeau de tigre blanc de neige (1 jour)
zts18233e	Deviens un adorable tigre.[n]La durée d'utilisation commence dès que tu mets le costume.[n][Effet][n]La force de tous les éléments augmente de 3 %.[n]
zts18234e	Chapeau de tigre blanc de neige (7 jours)
zts18235e	Chapeau de tigre blanc de neige (30 jours)
zts18236e	Chapeau de tigre blanc de neige (1 permanent)
zts18237e	Deviens un adorable tigre.[n][Effet][n]La force de tous les éléments augmente de 3 %.[n]
zts18242e	Superbes costumes de tigre & co
zts18243e	Ce coffre incroyable contient l'un des fabuleux costumes de tigre & co :[n]1x adorable costume de tigre[n]1x costume de tigre blanc de neige[n]1x costume de Renard Oto[n]1x costume de Ratufu aquatique[n]25x plume d'ange[n]25x cristal de pleine lune[n]
zts18244e	Costumes de Ratufu bigarrés & co
zts18245e	Ce coffre incroyable contient l'un des sublimes costumes de Ratufu & co.[n]1x costume de Ratufu noir[n]1x costume de Ratufu bleu[n]1x costume de Ratufu vert[n]1x costume de Ratufu rouge[n]1x costume de Ratufu rose[n]1x costume de Ratufu turquoise[n]1x costume de Ratufu jaune[n]1x costume de Ratufu classique[n]25x plume d'ange[n]25x cristal de pleine lune[n]
zts18248e	Adorable costume de tigre
zts18249e	Transforme-toi en adorable tigre grâce à ce costume.[n]Il est composé de :[n]1x adorable costume de tigre (permanent)[n]1x adorable chapeau de tigre (permanent)[n]
zts18250e	Costume de tigre blanc de neige
zts18251e	Ce costume te transformera en tigre blanc de neige.[n]Il se compose de :[n]1x costume de tigre blanc de neige (permanent)[n]1x chapeau de tigre blanc de neige (permanent)[n]
zts18274e	Patrick Pattedouce
zts18281e	Patrick Pattedouce & co
zts18282e	Ce coffre incroyable contient l'un des objets suivants :[n]1x Patrick Pattedouce[n]1x lapinou Padbra[n]1x Fibi Givrée[n]1x Inferno[n]1x Darko, le chiot des enfers[n]1x Pégase[n]1x Rudy Loubard[n]1x Rusty Robby[n]1x lapin mignon[n]1x oeuf de Chuck Poussin[n]25x plume d'ange[n]25x cristal de pleine lune[n]
zts18289e	Soin
zts18290e	Carte de spécialiste de l'archimage
zts18291e	Carte de spécialiste de l'ange vengeur
zts18292e	Carte de spécialiste du renégat
zts18293e	Sceau de raid de la sorcière Laurena
zts18294e	Commence le raid de la sorcière Laurena.[n]Niveau recommandé : 70-99[n]Nombre de joueurs recommandé : 20 à 40[n]Mode d'emploi[n]Avec ce sceau, tu deviendras chef de raid d'un groupe.[n]Une fois devenu chef de raid, tu peux inviter d'autres joueurs[n]en cliquant sur leur personnage.[n]Dirige-toi avec ton groupe vers l'entrée du raid et rentre en premier,[n]les autres membres du groupe te rejoindront.[n]
zts18295e	Soupe de haricots rouges
zts18296e	Objet de raid des diablotins[n]C'est de la nourriture que détestent les diablotins.[n]Étourdit la cible pendant 5 secondes.[n][Attention][n]Peut être seulement utilisé dans la maison de Nolbu.[n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts18297e	Sceau de raid de Hongbi & Cheongbi
zts18298e	Partez affronter Hongbi et Cheongbi en raid.[n]Niveau recommandé : 20-99[n]Nombre de joueurs recommandé : à partir de 10[n][Mode d'emploi][n]Avec ce sceau, tu deviendras chef de raid d'un groupe.[n]Une fois devenu chef de raid, tu peux inviter d'autres joueurs[n]en cliquant sur leur personnage.[n]Dirige-toi avec ton groupe vers l'entrée du raid et rentre en premier,[n]les autres membres du groupe te rejoindront.[n][Attention][n]Cet objet disparaîtra à la fin de l'évènement.[n][n]
zts18299e	Graine de Hungbu
zts18300e	La graine que Hungbu a reçu en cadeau de la part de l'hirondelle.[n][Mode d'emploi][n]Tu peux planter la graine dans ton Mini-pays.[n][Attention][n]Le monstre qui fait son apparition disparaît quand tu te déconnectes.[n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts18301e	Graine de Nolbu
zts18302e	La graine que Nolbu a reçu en cadeau de la part de l'hirondelle.[n][Mode d'emploi][n]Tu peux planter la graine dans ton Mini-pays.[n][Attention][n]Le monstre qui fait son apparition disparaît quand tu te déconnectes.[n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts18303e	Carte de spécialiste pour partenaire de Hongbi
zts18304e	C'est la carte de spécialiste pour partenaire du diablotin Hongbi.[n]La princesse Sakura peut la porter.[n]Aboulez l'argent ![n]
zts18305e	Carte de spécialiste pour partenaire de Cheongbi
zts18306e	C'est la carte de spécialiste pour partenaire du diablotin Cheongbi.[n]La princesse Sakura peut la porter.[n]Aboulez l'or ![n]
zts18307e	Boîte de raid de diablotin
zts18308e	Dans cette boîte de raid, tu trouveras différents objets bien pratiques.[n]Mets la main sur l'un d'eux ![n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts18309e	Boîte infernale de diablotin
zts18310e	La boîte infernale contient la carte de spécialiste pour partenaire de diablotin.[n]Mets la main sur un des objets suivants :[n]1x   carte de spécialiste pour partenaire de Hongbi[n]1x carte de spécialiste pour partenaire de Cheongbi[n]1x ticket de compétence pour partenaire (unique)[n]25x cristal de pleine lune[n]25x plume d'ange[n]
zts18325e	Boîte de raid de diablotin
zts18328e	Carte de spécialiste pour partenaire de l'archange Lucifer
zts18329e	Carte de spécialiste pour partenaire de l'élément Lumière[n]Léona et Bob peuvent la porter.[n]Le gardien de Lumière[n]
zts18330e	Coffre porteur de Lumière de Lucifer
zts18331e	Ce coffre lumineux contient la carte de spécialiste pour partenaire de l'archange Lucifer et d'autres objets.[n]Tu recevras l'un des objets suivants :[n]1x carte de spécialiste pour partenaire de l'archange Lucifer[n]1x ticket de compétence pour partenaire (unique)[n]25x cristal de pleine lune[n]25x plume d'ange[n]
zts18338e	Ce joyau précieux améliore ta carte de spécialiste.[n]Tu peux ainsi perfectionner l'Archimage, le Renégat et l'Ange vengeur.[n]
zts18339e	L'archimage a reçu la puissance divine concentrée.[n]« Dieu dit : sois la Lumière. »[n]
zts18340e	Membre de l'armée divine et gardien des cieux azurs[n]« Mon épée est la volonté de Dieu. »
zts18341e	Bouclier divin et gardien de Lumière[n]« Ma lame sera baignée de sang. »[n]
zts18342e	Carte de spécialiste pour partenaire de Laurena
zts18343e	C'est la carte de spécialiste pour partenaire de la sorcière blanche Laurena.[n]Ohh, tu ferais bien d'être prudent ![n]La princesse Sakura peut la porter.[n]
zts18344e	Pierre précieuse de Laurena
zts18346e	Poudre de nettoyage
zts18348e	Coffre de sorcière antique de Laurena
zts18349e	Le coffre de sorcière antique de Laurena recèle divers objets précieux.[n]
zts18350e	Éclat d'âme
zts18352e	Graine de damnation
zts18354e	Coffre de sorcière énigmatique de Laurena
zts18355e	Coffre de sorcière légendaire de Laurena
zts18356e	Le coffre de sorcière de Laurena recèle divers objets précieux.[n]Il semblerait que des objets améliorés se cachent ici.[n]
zts18357e	Cette pierre précieuse appartient à la sorcière Laurena.[n]Elle semble vraiment inestimable.[n]Cet objet peut être échangé auprès de Sarakael.[n]
zts18358e	Sarakael a élaboré cette poudre à base d'éclats d'âme.[n]Elle chasse l'[atmosphère lugubre].[n][Attention][n]L'effet dure jusqu'à la fin du raid.[n]L'objet est utilisable uniquement dans le raid contre la sorcière Laurena.[n]
zts18359e	Sarakael s'en sert pour élaborer la poudre de nettoyage.
zts18360e	Sarakael s'en sert pour élaborer le sceau de raid de la sorcière Laurena.
zts18363e	Dans ce coffre d'arène doré, tu recevras l'un des objets suivants :[n][Objets][n]1x petit rubis de l'accomplissement[n]1x petit saphir de l'accomplissement[n]1x petite obsidienne de l'accomplissement[n]1x petite topaze de l'accomplissement[n]1x rubis de l'accomplissement[n]1x saphir de l'accomplissement[n]1x obsidienne de l'accomplissement[n]1x topaze de l'accomplissement[n]50x potion de récupération géante[n]2x âme étincelante bleue[n]1x coeur de dragon[n]1x rune de l'éclair[n]1x rune de la vague[n]1x rune du nuage[n]1x rune du vent[n]1x rune du feu[n]
zts18364e	Chapeau de sorcière de Laurena
zts18365e	Ce chapeau au style très original est le préféré de Laurena.[n]
zts18366e	Coffre magique de Laurena
zts18367e	Ce coffre fabuleux contient la carte de spécialiste pour partenaire de Laurena et d'autres objets.[n]Tu recevras l'un des objets suivants :[n]1x carte de spécialiste pour partenaire de Laurena[n]1x ticket de compétence pour partenaire (unique)[n]25x cristal de pleine lune[n]25x plume d'ange[n]
zts18378e	Carte de spécialiste pour partenaire d'Amon
zts18379e	C'est la carte de spécialiste pour partenaire de l'élément Obscurité.[n]Tom et Kliff peuvent la porter.[n]Tu ploieras devant moi !
zts18390e	Les lièvres en sont friands ![n]Quel délice ![n]Les HP et MP sont lentement rétablis.[n]Ton NosMate en profitera aussi.[n][Attention][n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts18391e	Feuille de ginseng
zts18392e	Favorise l'endurance[n]Le roi dragon en cherche.[n]HP : 5 000, MP : 5 000[n]Ton NosMate en profitera aussi.[n][Attention][n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts18393e	Carotte
zts18394e	Les lièvres adorent les carottes ![n]En plus, c'est bon pour la santé...[n]et pour les enfants ![n]HP : 500, MP : 500[n]Ton NosMate en profitera aussi.[n]
zts18395e	Carte de spécialiste pour partenaire de Lucie Longoreil
zts18396e	C'est la carte de spécialiste pour partenaire de l'élément Feu.[n]Tom et Kliff peuvent la porter.[n]Donne-moi des carottes ![n]
zts18397e	Ruban lièvre
zts18398e	C'est un magnifique ruban ![n]Ce ruban est très rare.[n]Seuls les personnages féminins peuvent porter cet objet.[n][Effet][n]Les gains en or augmentent de 20 %.[n]
zts18399e	Sceau de raid de Lola Longoreil
zts18400e	Tu peux participer au raid de l'évènement d'été de NosVille en te rendant dans la Cour des lièvres.[n]Niveau recommandé : 20 à 99[n]Nombre minimum de joueurs : 6[n][Mode d'emploi][n]Ce sceau fait de toi le chef de raid d'une équipe.[n]Une fois chef de raid, tu peux inviter d'autres joueurs[n]en cliquant sur eux.[n]Emmène ton équipe à l'entrée du raid et entres-y en tant que chef,[n]les autres membres te suivront automatiquement.[n][Attention][n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts18401e	Boîte de raid du roi dragon
zts18402e	Il s'agit de la boîte de raid du roi dragon retrouvée.[n]Tu recevras 1 objet parmi plusieurs.[n]Cet objet disparaîtra à la fin de l'évènement.[n][n]
zts18403e	Cadeau de tortue
zts18404e	Un cadeau en récompense de la quête journalière ![n]Tu recevras 1 objet parmi plusieurs.[n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts18411e	Tu peux participer au raid de l'évènement d'été de NosVille en te rendant dans la Cour des lièvres.[n]Niveau recommandé : 20 à 99[n]Nombre minimum de joueurs : 6[n][Mode d'emploi][n]Ce sceau fait de toi le chef de raid d'une équipe.[n]Une fois chef de raid, tu peux inviter d'autres joueurs[n]en cliquant sur eux.[n]Emmène ton équipe à l'entrée du raid et entres-y en tant que chef,[n]les autres membres te suivront automatiquement.[n][Attention][n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts18412e	Sceau de raid de Lola Longoreil
zts18413e	Tu peux participer au raid de l'évènement d'été de NosVille en te rendant dans la Cour des lièvres.[n]Niveau recommandé : 20 à 99[n]Nombre minimum de joueurs : 6[n][Mode d'emploi][n]Ce sceau fait de toi le chef de raid d'une équipe.[n]Une fois chef de raid, tu peux inviter d'autres joueurs[n]en cliquant sur eux.[n]Emmène ton équipe à l'entrée du raid et entres-y en tant que chef,[n]les autres membres te suivront automatiquement.[n][Attention][n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts18416e	Les lièvres en sont friands ![n]Quel délice ![n]Les HP et MP sont lentement rétablis.[n]Ton NosMate en profitera aussi.[n][Attention][n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts18426e	Boîte de récompense : classement de popularité
zts18427e	Il s'agit de la boîte de récompense pour le classement de popularité.
zts18428e	Boîte de récompense : classement de réputation
zts18429e	Il s'agit de la boîte de récompense pour le classement de réputation.
zts18430e	Boîte de récompense : classement de score
zts18431e	Il s'agit de la boîte de récompense pour le classement de score.
zts18432e	Cow-girl Chloé
zts18433e	C'est la carte de spécialiste pour partenaire de l'élément Eau.[n]Léona et Bob peuvent la porter.[n]Cacher et dissimuler ![n]
zts18434e	Honorable : épée de Magmaros
zts18435e	Honorable : épée de Valakus
zts18436e	Honorable : Aile du phénix
zts18437e	Honorable : aile de Graal
zts18438e	Honorable : bâton du spectre de lave
zts18439e	Honorable : baguette de Katol
zts18440e	Honorable : griffe du phénix
zts18441e	Honorable : griffe de Graal
zts18442e	Honorable : canine du chien de braise
zts18443e	Honorable : canine de Kertos
zts18444e	Honorable : souffle de Valaket
zts18445e	Honorable : souffle de Valakus
zts18446e	Boosteur d'arène (talents)
zts18447e	Cet objet est utilisé une fois à chaque fois que tu remportes l'arène des talents.[n]Tu reçois une médaille, de l'EXP supplémentaire et de l'or.[n][Attention][n]L'objet doit se trouver dans ton inventaire pour pouvoir être utilisé.[n]
zts18448e	Médaille d'honneur légendaire
zts18449e	Cette médaille est décernée aux joueurs ayant réalisé des prouesses honorables.[n]Tu reçois 30 000 points de réputation.[n][Attention][n]L'objet est utilisé une fois dès que tu cliques dessus.[n]Une fois utilisé, l'objet ne peut plus être restauré.[n]
zts18450e	Médaille d'honneur mystérieuse
zts18451e	Cette médaille est décernée aux joueurs ayant réalisé des prouesses honorables.[n]Tu reçois 20 000 points de réputation.[n][Attention][n]L'objet est utilisé une fois dès que tu cliques dessus.[n]Une fois utilisé, l'objet ne peut plus être restauré.[n]
zts18452e	Médaille d'honneur antique
zts18453e	Cette médaille est décernée aux joueurs ayant réalisé des prouesses honorables.[n]Tu reçois 10 000 points de réputation.[n][Attention][n]L'objet est utilisé une fois dès que tu cliques dessus.[n]Une fois utilisé, l'objet ne peut plus être restauré.[n]
zts18454e	Médaille d'honneur excellente
zts18455e	Cette médaille est décernée aux joueurs ayant réalisé des prouesses honorables.[n]Tu reçois 5 000 points de réputation.[n][Attention][n]L'objet est utilisé une fois dès que tu cliques dessus.[n]Une fois utilisé, l'objet ne peut plus être restauré.[n]
zts18456e	Médaille d'honneur de grande qualité
zts18457e	Cette médaille est décernée aux joueurs ayant réalisé des prouesses honorables.[n]Tu reçois 3 000 points de réputation.[n][Attention][n]L'objet est utilisé une fois dès que tu cliques dessus.[n]Une fois utilisé, l'objet ne peut plus être restauré.[n]
zts18458e	Médaille d'honneur estimable
zts18459e	Cette médaille est décernée aux joueurs ayant réalisé des prouesses honorables.[n]Tu reçois 1 000 points de réputation.[n][Attention][n]L'objet est utilisé une fois dès que tu cliques dessus.[n]Une fois utilisé, l'objet ne peut plus être restauré.[n]
zts18460e	Médaille d'honneur utile
zts18461e	Cette médaille est décernée aux joueurs ayant réalisé des prouesses honorables.[n]Tu reçois 500 points de réputation.[n][Attention][n]L'objet est utilisé une fois dès que tu cliques dessus.[n]Une fois utilisé, l'objet ne peut plus être restauré.[n]
zts18463e	Cette médaille est décernée aux joueurs ayant réalisé des prouesses honorables.[n]Tu reçois 200 points de réputation.[n][Attention][n]L'objet est utilisé une fois dès que tu cliques dessus.[n]Une fois utilisé, l'objet ne peut plus être restauré.[n]
zts18464e	Il s'agit du ticket pour accéder à l'arène des talents.[n]Relève le défi et deviens le héros de NosTale ![n][Attention][n]L'objet est utilisé une fois dès que tu cliques dessus.[n]Le nombre d'entrées augmente temporairement de 1.[n]Ce nombre sera plus tard réinitialisé.[n]
zts18465e	Médaille d'honneur
zts18466e	Cet objet est utilisé une fois à chaque fois que tu remportes l'arène des talents.[n]Tu reçois une médaille, de l'EXP supplémentaire et de l'or.[n][Attention][n]L'objet doit se trouver dans ton inventaire pour pouvoir être utilisé.[n]
zts18473e	Honorable : masque de feu antique
zts18474e	Honorable : casque de flammes
zts18475e	Honorable : gant de Magmaros
zts18476e	Honorable : gant de Valakus
zts18477e	Honorable : bottes du géant de flammes
zts18478e	Honorable : bottes de Kertos
zts18479e	Honorable : bracelet du géant de flammes
zts18480e	Honorable : bracelet de Katol
zts18481e	Honorable : anneau du phénix
zts18482e	Honorable : anneau de Graal
zts18483e	Honorable : collier du chien de braise
zts18484e	Honorable : collier de Kertos
zts18485e	Honorable : armure blindée du géant de flammes
zts18486e	Honorable : armure pectorale en acier de Katol
zts18487e	Honorable : armure en cuir du chien de braise
zts18488e	Honorable : armure pectorale en cuir de Kertos
zts18489e	Honorable : tunique du phénix flamboyant
zts18490e	Honorable : tunique de Graal flamboyant
zts18491e	Essence d'Ancelloan
zts18492e	Cet objet permet d'utiliser l'apparition d'Ancelloan.
zts18493e	Honorable : gants du maître voleur
zts18494e	Honorable : chaussures du maître voleur
zts18495e	Masque du héros oublié D
zts18496e	Cet équipement de héros oubliés a été retrouvé dans la plaine céleste.[n]
zts18497e	Serre-tête du héros inconnu
zts18498e	Il n'y a même pas un nom à oublier.[n]
zts18499e	Collier du héros oublié J
zts18500e	Anneau du héros oublié S
zts18501e	Bracelet du héros oublié M
zts18502e	Honorable : armure en or de la bande des voleurs
zts18503e	Honorable : tunique en or de la bande des voleurs
zts18504e	Honorable : robe en or de la bande des voleurs
zts18505e	Honorable : armure lourde du commandant
zts18506e	Honorable : apparat du commandant
zts18507e	Honorable : armure en cuir du commandant
zts18508e	Honorable : dague de canine bleue de Calvina
zts18509e	Honorable : baguette magique hydrophyte de Calvina
zts18510e	Honorable : arme magique de corne bleue de Calvina
zts18511e	Honorable : épée houleuse de Calvina
zts18512e	Honorable : arbalète d'épine bleue de Calvina
zts18513e	Honorable : arc tsunamique de Calvina
zts18514e	Honorable : arbalète du grand chef
zts18515e	Honorable : arme magique du grand chef
zts18516e	Honorable : couteau du grand chef
zts18517e	Honorable : épée tranchante du grand chef
zts18518e	Honorable : baguette magique du grand chef
zts18519e	Honorable : arc du grand chef
zts18520e	Boîte honorable
zts18521e	Boîte honorable[n]Tu recevras l'un des objets suivants :[n][Objets disponibles][n]1x ticket pour l'arène des talents[n]1x médaille d'honneur légendaire[n]1x médaille d'honneur mystérieuse[n]1x médaille d'honneur antique[n]1x médaille d'honneur excellente[n]1x médaille d'honneur de grande qualité[n]1x médaille d'honneur estimable[n]1x médaille d'honneur utile[n]1x médaille d'honneur[n]
zts18522e	Coffre à médaille d'or
zts18523e	Coffre à médaille d'or[n]Tu recevras l'un des objets suivants :[n][Objets disponibles][n]1x médaille d'honneur légendaire[n]1x médaille d'honneur mystérieuse[n]1x médaille d'honneur antique[n]1x médaille d'honneur excellente[n]1x médaille d'honneur de grande qualité[n]1x médaille d'honneur estimable[n]1x médaille d'honneur utile
zts18524e	Coffre à médaille d'argent
zts18525e	Coffre à médaille d'argent[n]Tu recevras l'un des objets suivants :[n][Objets disponibles][n]1x médaille d'honneur légendaire[n]1x médaille d'honneur mystérieuse[n]1x médaille d'honneur antique[n]1x médaille d'honneur excellente[n]1x médaille d'honneur de grande qualité[n]1x médaille d'honneur estimable[n]1x médaille d'honneur utile[n]1x médaille d'honneur[n]
zts18532e	Carte de spécialiste pour partenaire de Fiona
zts18533e	C'est la carte de spécialiste pour partenaire de la renarde à neuf queues, Fiona.[n]Tom et Kliff peuvent la porter.[n]Une renarde qui aurait préféré être humaine...[n]
zts18534e	Ailes dorées
zts18535e	Transforme les ailes de ton spécialiste en ailes dorées.[n][Mode d'emploi][n]1. Change-toi en spécialiste.[n]2. Utilise cet objet pour transformer tes ailes.[n][Effet][n]Vitesse de déplacement +1[n]Avec une probabilité de 25 %, tu résistes à un mouvement forcé.[n][Attention][n]1. Pour modifier des ailes de spécialiste, tu dois posséder une carte de spécialiste améliorée +1 ou supérieure.[n]2. L'effet disparaît si tu places ta carte dans une boîte de spécialiste.[n]
zts18537e	Transforme les ailes de ton spécialiste en ailes dorées.[n][Mode d'emploi][n]1. Change-toi en spécialiste.[n]2. Utilise cet objet pour transformer tes ailes.[n][Effet][n]Vitesse de déplacement +1[n]Avec une probabilité de 25 %, tu résistes à un mouvement forcé.[n][Attention][n]1. Pour modifier des ailes de spécialiste, tu dois posséder une carte de spécialiste améliorée +1 ou supérieure.[n]2. L'effet disparaît si tu places ta carte dans une boîte de spécialiste.[n]
zts18554e	Carte de spécialiste pour partenaire de Djinn
zts18555e	C'est la carte de spécialiste pour partenaire de l'élément Eau.[n]La princesse Sakura peut la porter.[n]« Il n'est pas souhaitable de souhaiter d'autres souhaits. »[n]
zts18556e	Ailes d'onyx
zts18557e	Transforme les ailes de ton spécialiste en ailes d'onyx.[n][Mode d'emploi][n]1. Change-toi en spécialiste.[n]2. Utilise cet objet pour transformer tes ailes.[n][Effet][n]Invoque l'ombre du dragonyx pour attaquer la cible avec une certaine probabilité.[n]Vitesse de déplacement +1[n][Attention][n]1. Pour modifier des ailes de spécialiste, tu dois posséder une carte de spécialiste améliorée +1 ou supérieure.[n]2. L'effet disparaît si tu places ta carte dans une boîte de spécialiste.[n]
zts18573e	Princesse des glaces Éliza
zts18574e	C'est la carte de spécialiste pour partenaire de l'élément Eau.[n]La princesse Sakura peut la porter.[n]Je voudrais un bonhomme de neige ![n]
zts18575e	Daniel Ducat
zts18576e	C'est la carte de spécialiste pour partenaire de l'élément Feu.[n]Léona et Bob peuvent la porter.[n]Couvre le roi pirate de trésor et d'or si tu tiens à ta vie ![n]
zts18589e	Élément de la balance
zts18590e	Un élément imprégné de l'énergie de la balance.[n]5 éléments de la balance peuvent être convertis en essence de la balance.[n]
zts18591e	Essence de la balance
zts18592e	Une essence imprégnée de l'énergie de la balance.[n]5 essences de la balance peuvent être converties en cristal de la balance.[n]
zts18593e	Cristal de la balance
zts18594e	Un cristal imprégné de l'énergie de la balance.[n]Nécessaire à la production.[n]
zts18595e	Relique de la tribu originelle
zts18596e	Cet objet est vendable en magasin.[n]Suite au déclin de l'antique civilisation, la relique a disparu dans la nature.[n]Elle est en mauvais état, mais possède une valeur archéologique.[n]
zts18597e	Relique de la tribu originelle intacte
zts18598e	Cet objet est vendable en magasin.[n]La relique est en très bon état et possède une grande valeur archéologique.[n]Tu peux en obtenir une belle somme si tu la vends à un antiquaire.[n]
zts18599e	Marque des zélotes
zts18600e	C'est une marque portée par chaque zélote.[n]Personne ne sait à quoi sert cette marque, mais il y a un joyau en son centre.
zts18601e	Corne de Bacoum
zts18602e	C'est la corne de Bacoum.[n]Elle est aussi dure que l'acier.[n]
zts18603e	Queue de Bacoum
zts18604e	Bien cuisinée, elle est excellente.[n]Les gourmets apprécieront cette queue.[n]
zts18605e	Orichalque abîmé
zts18606e	L'orichalque est un métal très particulier qu'on utilisait déjà dans l'Antiquité.[n]Il ne vaut malheureusement plus grand-chose, car il a été abîmé.[n]
zts18607e	Orichalque intact
zts18608e	L'orichalque est un métal très particulier qu'on utilisait déjà dans l'Antiquité.[n]Le prix dépend du vendeur.[n]
zts18609e	Pierre flottante
zts18610e	On dirait une pierre normale, mais elle flotte lorsqu'on l'alimente avec du mana.[n]
zts18611e	Soie
zts18612e	Matériau très doux et raffiné.[n]
zts18613e	Âme innocente
zts18614e	L'énergie des âmes innocentes forme un noyau.[n]
zts18615e	Morceau de métal inconnu
zts18616e	Un morceau de métal d'origine inconnue.[n]
zts18617e	Sanctuaire inconnu
zts18618e	Cet objet est utilisé au cours des cérémonies zélotes.[n]
zts18619e	Collier en argent
zts18620e	Ce collier en argent brille de mille feux.[n]
zts18621e	Collier en or
zts18622e	Ce collier en or semble très précieux.[n]
zts18623e	[Débutant] Augmentation des dégâts en PvP
zts18624e	Avec cet objet, tu peux obtenir l'effet suivant.[n][Effet][n]Les dégâts en PvP augmentent de 1 %.[n]
zts18625e	[Intermédiaire] Augmentation des dégâts en PvP
zts18626e	Avec cet objet, tu peux obtenir l'effet suivant.[n][Effet][n]Les dégâts en PvP augmentent de 2 %.[n]
zts18627e	[Avancé] Augmentation des dégâts en PvP
zts18628e	Avec cet objet, tu peux obtenir l'effet suivant.[n][Effet][n]Les dégâts en PvP augmentent de 3 %.[n]
zts18629e	[Expert] Augmentation des dégâts en PvP
zts18630e	Avec cet objet, tu peux obtenir l'effet suivant.[n][Effet][n]Les dégâts en PvP augmentent de 5 %.[n]
zts18631e	[Débutant] Augmentation de la défense en PvP
zts18632e	Avec cet objet, tu peux obtenir l'effet suivant.[n][Effet][n]La défense en PvP augmente de 1 %.[n]
zts18633e	[Intermédiaire] Augmentation de la défense en PvP
zts18634e	Avec cet objet, tu peux obtenir l'effet suivant.[n][Effet][n]La défense en PvP augmente de 2 %.[n]
zts18635e	[Intermédiaire] Augmentation de la défense en PvP
zts18636e	Avec cet objet, tu peux obtenir l'effet suivant.[n][Effet][n]La défense en PvP augmente de 3 %.[n]
zts18637e	[Expert] Augmentation de la défense en PvP
zts18638e	Avec cet objet, tu peux obtenir l'effet suivant.[n][Effet][n]La défense en PvP augmente de 5 %.[n]
